"name","text"
"Winata Arafad","Kesini pada musim hujan jadi momen yang sulit karena untuk mendapatkan view gunung merapi harus mencari jam yang tepat. Atau bakal seperti saya. Kedatangan saya kesini waktu sore hari dan mendung pekat al hasil. Gunung merapinya tidak kelihatan karena tertutup kabut / awan tebal juga sempat hujan lebat sesaat. otomatis kami belum hunting foto sampe puas harus rela bubar jalan untuk mencari tempat berteduh. Untuk menuju lokasi ini sangat mudah karena jalannya sudah terhitung bagus. banyak warung dan toko kelontong yang bisa kita beli kalo membutuhkan  sesuatu. misal makan, minum, tisu, snack bahkan cindera mata. selain merapi ada objek wisata berupa bunker jepang.  dan wahana wisata lain yang disediakan penduduk sekitar"
"Alisia Gahabka","Incredible to get closer to such an active vulcanoe. It’s definitely interesting to learn about the history and devastation caused by the volcanoe, especially its eruption in 2010. We took a tour and our guide explained everything very well in a 1h Tour which was enough and fun to drive with the Jeep. Definitely recommend 🥳"
"Agus Prijanto","Merapi adalah salah satu gunung berapi yang masih aktif. Berada di perbatasan Daerah Istimewa Yogyakarta, Magelang dan Boyolali. Selain utk kegiatan naik gunung , disana ada wisata Tour Lava dengan mengendarai jeep berkeliling daerah daerah yang terkena letusan merapi denga meninggalkan bekas batu batu besar dan bangunan yg kena lahar. Di sisi Selatan di daerah Kaliurang banyak villa dan hotel yang disewakan. Sekeliling kaki merapi yang subur ada perkebunan salak pondoh yang terkenal manis."
"Wira","Gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapi sejak tahun 2004."
"Sua Truong","Very majestic mountain with a great view of the city below. Amazing to come even this close to an active volcano
We used a jeep service to get to there which cost $550k IDR. This includes a few different visits to other areas of Mt. Merapi including an off-road area on a running creak.
The guide/driver was a great photographer.
The sunrise wasn't great due to cloud coverage but the predawn city light and the Sun breaking through was very nice."
"Regina Monica","Gunung merapi merupakan salah satu gunung berapi yg aktif di Indonesia. Tepatnya gunung ini di yogyakarta.. gunung ini biasanya meletus sekitar 4 thn sekali... ketika gunung ini meletus wahhh abunya bisa nyampe kemana2.
Terakhir x meletus sekitar th 2011 dah.. meletus besar... wahh avu panasnya merusak banyak tanaman . Ketika di jalanan.. abu tebal berterbangan.. sehingga jarak pandang melihat sangat pendek.. smua pada kotor ketimpa abu..  batu guede2 bisa ada di tengah jalan berserakan.. korban meninggal wkt itu jg banyak... ngere dah dan capek bersih2nya 😁.. dan akhir2 ini merapi mulai terbatuk2 nih..."
"Yaumil Azmi Ardhana","Bagus pemandangan nya,apalagi saat sy kesini merapi menunjukan wajahny tanpa ada kabut ,banyak sekali spot wisata🤩"
"Karin Legina","Gunung yg indah.. gak kalah indah sama gunung fuji di jepang..
Gunung yg menjadi penopang kehidupa. Yogyakarta..
Terlihat berdiri kokoh sendirian..kesepia .. tapi memberikan manfaat luar biasa bagi tanah di sekitarnya..
Bagiku merapi adalah keindahan yg harus diabadikan.. keindahan yg harus dijaga.. Merapi adalah salah satu tempat pulang.."
"Lulut Muhammad Candra","Tempat indah untuk melepas penat, bisa kemping atau sekedar jalan jalan. Bisa ke gardu pandang untuk melihat puncak merapi, bisa juga jalan menembus hutan menuju puncak merapi. Di kaliadem bisa melihat sisa erupsi. Ada gua jepang, telogo putri. Di kaliurang bisa juga menikmati jadah tempe, yg cukup terkenal dan populer, jadah tempe mbah carik. Selalu ramai pengunjung tiap harinya."
"Denis Aristha","# Berlibur merupakan salah satu kegiatan untuk melepaskan penat dari aktivitas yang dilakukan manusia setiap harinya. Tidak ada salahnya untuk sesekali mengunjungi tempat baru agar kita bisa mengenal lebih jauh seperti apa dunia ini sebenarnya.
_
Banyak orang yang suka menulis ulasan kembali selepas mereka traveling di dalam maupun luar negeri. . merapi"
"Matze Kay","What a fantastic view! I left yogya with a scooter at 4.30am and arrived almost two hours later New Selo, the starting point for the hike. There was no one else, so I also didn't have to pay entrance or parking fees. After 2 hours of hiking (I'm not an athlete, but quite fit, and it's not my first volcano hike) I arrived at the top, and I was the only one there! So spectacular views! Occasionally I was able to sneek the sulfide smells from the crater.

The hardest part was hiking up the ashes of the crater. Make sure you go quite far to the left, as there are more rocks and it's easier to find grip. I didn't do it, and it was really a hassle going up there. But the end it was so worth it. Even though I didn't make it to the Sunrise, the hike was much easier at daylight and it was also nice to see the early morning sun illuminating the volcano.

It took me 1.5 hours for the way down. It was really easy to run down the ashes, but especially towards the end, it got very slippery with the gravel on the steep parts, so take care!"
"Wahyu adi sutrisno","Gunung yang menyimpan berjuta misteri..salah satu gunung aktif yg ramai dkunjungi namun untuk saat ini dtutup krena aktivitasnya ckup berbahaya
Mnuju puncaknya bsa dtempuh 4-5jam walaupun pihak BC hnya membatasi pndakian smpe Pasar Bubrah..altrnatif ksini bisa tektokan atau camping
BC ckup luas dan trsedia beberpa kbituhan pndakian..nampak gunung merbabu terlihat gagah didepanya
Menuju batas vegetasi medanya berpasir dan ckup licin jdi harus hati2
Selain itu tetap fokus jka ingin berfoto jgn smpai trulang kembali hal buruk yg prnah ada
Jgn lupa bawa kembali turun sampahmu..salam lestari"
"Ranselkumel","untuk saat ini pendakian gunung merapi ditutup sampai batas waktu tidak ditentukan, dikarnakan aktivitas gunung merapi yang mulai meningkat.

diharapkan agar semua pendaki mentaati peraturan ini demi keselamatan jiwa.
salam lestari-"
"Latifah Ahmad","Had a great time and best experience ever! Took d Merapi Jeep Tour, 450K rupiah for 2 hrs tour. D locals r nice n friendly. It was holiday season so it was crowded but still we had a great time. Mount Merapi is so stunning n beautiful!"
"Cahyo Brutality","Terkenal dengan tagar '' merapi tak pernah ingkar janji '' merupakan pandakian yang cukup menantang dengan trek pasir berbatu dimulai dari pos aman batas pendakian terakhir yaitu pasar bubrah.
Seperti merapi, pendaki juga harusnya tak ingkar janji dengan tidak melakukan vandalisme dan meninggalkan sampah logistik diarea gunung merapi."
"Catalina Poplicean Lar","For anyone wondering, mount Merapi is currently closed due to the ongoing eruptions.

However, it can be very beautifully observed from the neighbouring mount Merbabu which can be hiked (with proper planning, official reservation etc)"
"butterfly","Gunung ini adalah gunung termuda dalam rangkaian gunung berapi yang mengarah ke selatan dari Gunung Ungaran, Gunung Merbabu, dan Gunung Merapi. Gunung ini terbentuk karena aktivitas di zona subduksi Lempeng Indo-Australia yang bergerak ke bawah Lempeng Eurasia menyebabkan munculnya aktivitas vulkanik di sepanjang bagian tengah Pulau Jawa."
"andre kusprianto","Mt Merapi (2274m) is a popular destination for mountain trekking and climbing especially during long weekend. To climb you will pass 3 posts and spends around 4-5 hours to reach the top from base-camp Selo. Best time to climb is during the dry season."
"Lina Yuslina","Rekreasi yg sangat memacu adrenalin. Tdk disarankan untuk wanita hamil dan manula krena trex yg dilalui cukp mengguncang dgn menggunakan jip yg disewakan.. Panas dan berdebu disarankan menggunakan kacamata dan masker..  Untuk fasilitas toile mmg ada disetiap pemberhentianya tp sanga seadanya..  Untuk maknpun harganya cukup mahal... Tp perjuangannya terbayar ketika sampai puncak merapi..  Subhannalloh.."
"aghan raafiud","Pendakian Gunung Merapi via Selo banyak diminati karena bisa sekalian melanjutkan misi ke Gunung Merbabu. Sedangkan pendakian via Kaliurang tidak terlalu populer dan lebih sering ditutup jika status Gunung Merapi meningkat.

Di Pos New Selo, bisa memilih untuk mendaki Gunung Merapi atau Gunung Merbabu. Kadang pendaki mendaki secara bergantian sehingga muncul istilah populer kedua gunung ini sebagai 2M."
"Yinan Chu","Mount merapi volcano tour is far from impressive. Not so recommended because u could hardly see volcano from long distance, even u take jeep. If u want to get nice photos of volcano or even lava, better download from google. Mostly u will see trucks digging lava ash / stone"
"Rangga dy","Setelah anda berkunjung ke museum merapi, rasanya masih ada yang kurang jika anda tidak berkunjung ke lereng merapi. Banyak hal yang dapat anda lakukan ditempat ini, salah satunya anda dapat mencicipi kegiatan yang memacu adrenalin ditempat yang satu ini. Anda dapat melakukan tour dengan jeep di lereng merapi, selain dapat memacu adrenalin anda pun dapat menikmati keindahan alam sekitar lereng merapi. Atau jika anda lebih suka mengunggangi motor trail, ada beberapa orang yang menyediakan motor trail yang bisa anda sewa."
"Syauban Anas","Salah satu gunung berapi paling aktif di indonesia, abu gunung ini yang sering disebut sebagai wedus gembel membawa kesuburan bagi warga sekitar. Namun karena statusnya sebagai gunung berapi aktif tak jarang, tiba-tiba mengeluarkan erupsi.

Gunung ini memiliki banyak jalur pendakian namun paling enak lewat kaliurang karena disuguhkan banyak pemandangan."
"Budi Surya Nugraha","Pengalaman tidak terlupakan ketika berkemah dipasar bubrah Sepanjang malam hujan dan badai angin , tenda , baju daN alas tidur basah semua , malam yang terasa sangat berat karena cuaca dingin yang ekstrim tapi alhamdulillah semua terbayar Pas pagi2nya merayap menuju puncak , meski cuaca tidak terlalu cerah tapi view dari puncak sangat menakjubkan , pemandangan gunung merbabu dari puncak merapi sangat indah , pengalaman yang sangat tidak terlupakan , semoga dikasih kesempatan kembali untuk mengunjungi puncak merapi kembali"
"Rangga Aditya","Naik dari jalur selo, bisa 1 hari perjalanan tanpa ngecamp. Akses sudah mudah dan fasilitas juga lumayan jelas untuk mencapai puncaknya."
"aang andi","salah satu gunung berapi aktif di pulau Jawa.

based from my hiking experience in 2014, Start from last checkpoint (Selo) at 01:00 AM and reach the summit at 5 to get the sunrise view.."
"Amin Rahmadi","Salah satu gunung berapi yang masih aktif,dengan ketinggian (2930 mdpl).
Jika mendaki ke gunung ini sebaiknya ikuti aturan yang ada,tidak boleh sampai puncak,sudah tepampang aturan di pasar bubrah,banyak yg sudah jadi korban atas keganasan gunung ini."
"miftahu rokhmat channel","view puncak gunung memukau sekali"
"ida safitri","Tidak begitu dingin. Pemandangannya sangat indah. Jalur babadan merupakan jalur pendakian berbasis konservasi. Tracknya lumayan vutam untuk pemula."
"Septiana Sulistiawati","Sebuah gunung dengan beberapa jalur pendakian.  Salah satunya adalah jalur pendakian via New Selo,  merupakan jalur pendakian yang jarak tempuhnya cukup singkat yaitu kurang lebih 3 jam.  Jalur ini diawali dengan trek yang cukup menanjak,  dengan vegetasi yang cukup memberikan perlindungan dari panas matahari.  Setelah pos 1 jalur mulai menyempit dengan tepi jalan yang berupa jurang-jurang.  Dalam jarur pendakian akan dijumpai pemandangan yang begitu menakjubkan,  gunung Merbabu berdiri gagah,  kemudian dari kejauhan terlihat puncak gunung Sumbing.  Jika beruntung,  kita akan menjumpai lautan awan yang begitu menakjubkan pula."
"Sasda Sabrina","I went here with my friends to hiking and camping. We really enjoy our time though the trek is really hard for us. I recommend you to hike this mountain in a daylight because when you hike this in the dark it will multiply the difficulty. The sunrise here is very verg beautiful, you can also enjoy Mt. Merbaby very close. Good place!"
"Ahmedul Azam","Mount Merapi, Indonesian Gunung Merapi, volcanic mountain peak located near the centre of the island of Java, Indonesia. The volcano is about 20 miles (32 km) north of Yogyakarta and somewhat farther south of Semarang. Merapi (“Mountain of Fire”) rises to 9,551 feet (2,911 metres) and has steep slopes with dense vegetation on its lower flanks. It is the most active of Indonesia’s 130 active volcanoes. One of its largest eruptions occurred in 1006 and spread ash throughout central Java. Other major eruptions were those of 1786, 1822, 1872, 1930, and 1976. Almost half of Merapi’s eruptions have been accompanied by pyroclastic flows, or nuées ardentes, which are clouds of superheated gases and incandescent solid particles. In the eruption of Nov. 22, 1994, the release of a pyroclastic flow killed 64 people. A series of eruptions of the volcano in late 2010, which included pyroclastic flows, killed scores of people, injured dozens more, and forced tens of thousands to evacuate the area."
"Ajik husada","gunung dengan ketinggian 2930mdpl atau 9600feet ini merupakan salah satu gunung api teraktif didunia. jalur resmi pendakian gunung ini paling terkenal adalah via selo boyolali, jawa tengah. pendakian sebenarnya hanya diperbolehkan sampai pasar bubrah tidak diperkenankan untuk pendaki sampai ke puncak tertinggi merapi, yaitu puncak garuda (saat ini telah hilang) karena sangat berbahaya."
"Adventure Vacation","Sewa jeep merapi Rp350.000, rute short, off road air, ke museum sisa hartaku, the lost world castle dan stonehenge( tiket masuk bayar sendiri), merapi salah satu gunung paling aktif di pulau jawa terletak ditengah2 pulau jawa, dibalik keeksotisannya merapi menyimpan keganasan,,bbrp x erupsi hebat di tahun 2006 dan 2010 telah memakan banyak korban jiwa, namun dibalik itu semua merapi memberikan janji akan kesuburan tanah yogya dan sekitarnya,,pasir yg melimpah dan kesuburan tanah bukti merapi tak pernah ingkar janji kepada masyarakat sekitar,"
"Ahmad Ali Fahmi","One of the most active volcano in Indonesia. Surrounded by tens of thousands of residents. Has been closed for climbing since May 2018 after the risk status increased to level 2 (Waspada), except for mitigation purposes. Current status is level 3 (Siaga) since November 2020."
"Rizqi Fajriansyah","pemandanganya bagus dengan puncak kawah yang khas. treknya 11 12 sam mahameru lah. mantap banget buat nguras tenaga hehe"
"raghavendra udupa","Lava tour experience one should really have if you visiting Yogyakarta. Starts at 4 am and ends by 9.  But gives you an opportunity to have a very close look of amazing merapi"
"Relawan Rahasia","Gunung Merapi, DIY.

Gunung Merapi, yang artinya ""Gunung Berapi"" dalam bahasa Indonesia, adalah salah satu gunung berapi paling aktif di dunia. Terletak di Jawa Tengah, Indonesia, gunung ini memiliki sejarah panjang yang kaya dan mempesona.

Sejarah Gunung Merapi diwarnai dengan cerita-cerita legendaris. Salah satunya adalah kisah ""Ratu Kidul,"" roh penjaga laut selatan, yang dipercayai mempengaruhi aktivitas gunung. Merapi juga memiliki makna penting dalam mitologi Jawa sebagai tempat kediaman spiritual. Itu adalah gunung berapi yang menakjubkan dan berbahaya sekaligus.

Namun, selain keindahannya, Gunung Merapi juga dikenal dengan erupsinya yang sering. Erupsi gunung ini telah terjadi berkali-kali selama berabad-abad, dengan yang paling destruktif terjadi pada tahun 2010. Erupsi itu menewaskan beberapa orang, menghancurkan desa-desa, dan menciptakan hujan abu yang mencakup area yang luas.

Meskipun bahayanya, Gunung Merapi menjadi tujuan wisata yang populer. Para pendaki sering berani mendaki gunung ini untuk merasakan petualangan yang mendebarkan dan melihat pemandangan indah dari puncaknya. Namun, sepertinya saat ini gunung merapi sudah tidak boleh didaki.

Kondisi Gunung Merapi selalu berubah, dan ini adalah salah satu gunung berapi teraktif di dunia. Otoritas setempat terus memantau aktivitasnya dan mengambil tindakan pencegahan jika diperlukan untuk melindungi penduduk setempat. Masyarakat sekitar juga telah belajar hidup berdampingan dengan ancaman erupsi, dan mereka memiliki sistem peringatan dini yang efisien.

Gunung Merapi adalah salah satu contoh kemegahan alam yang menakjubkan dan penuh rasa hormat, tetapi juga menunjukkan potensi bahaya yang dimiliki alam. Itu adalah pengingat bagi kita semua tentang seberapa kecilnya manusia di hadapan kekuatan alam semesta ini."
"herman santoso","Foto yang sama dgn background 3 orang yang sama, tpi pas foto sendiri ada penampakan yang ikut kefoto 🥶🥶🥶"
"Jenae Lien","If you can’t muster the energy for the 4 hour ascending climb to the top for sunrise, take a jeep tour to the base to catch it. We lucked out on a great jeep deal, 450,000rp for a tour of Mt. Merapi base during sunrise, then the excavation site, following the museum that contains artifacts from its last eruption in 2010. The tour took about 4 hours.

We got to base at 5AM, sunrise was at 5:45AM. We waited and watched the world change before our eyes. A mesmerizing show by the golden sun. A photographer’s delight to witness. About 100 other people were at the base, catching the rise. No one really got in each other’s way because of the vast space.

Please pick up your own trash! There are no trash cans at the base of Mt. Merapi. You’ll find tons of cigarette butts on the ground. Please do not be a contributor to pollution. Once the sun rises, you’ll see the stores that are also at base. Find a trash can there and be responsible.

Toilets available for a fee of 2000rp. Bring your own tissue paper if you need it.

Volcanic soil is nice and smooth, with bigger rocks around the area. Watch your step as you venture to a spot in the night. When we went, it was super foggy. And there was a cliff that dropped 80M below to our right. Just be careful.

Next time, I will hike to the top and review the sites from above. Wasn’t in the cards this time."
"Bayu Widyanto","banyak keseruan di sini, wajib kesini, apalagi mengetahui tempat2 desa mbah marijan. Lava tour merapi ! 🤗"
"Anshul Johri","Wow what an experience and view. Mount Merapi is kind of must visit place in Jogja. It has amazing view from the top and for a person like me who has never seen a volcano and its surroundings, its an amazing experience. Though this is not an active volcano right now but you can see the Lava experience how it came from the top till bottom, what kind of damages it has done in the past.
For commute you can go via your own vehicle upto a level and than you can hire a jeep. Jeep provides multiple options to choose from, which varies from 60 mins journey to 180 mins journey. We chose 90 mins one which was sufficient to have the experience till top. Though you can not go to extreme top and there is a point where all jeeps stop.
Jeep ride is certainly not comfortable and cam cause stomach or leg pain for elder or kids so be mindful. You can ask jeep driver to slow down and avoid bumpy tracks"
"Robbie Garou","Banyak pemandangan sangat indah yang bisa dilewati dalam jalur pendakian yang luar biasa menantang ini."
"Alvin Al","Gunung yg terkenal dengan gunung berapi ini menawarkan keindahan kawah yg meletus di tahun 2010an. Utk mencapai puncaknya harus daki melewati pasir yg tebal dan bikin pernafasan sesak. Utk treknya lumayan sulit soalnyaa bebatuan, terus pasir. Jadi hati2 yaa guyss kalo ke gunung merapi"
"Luthfi Anto","Ini sungguh sangat indah sekali bagi saya✨✨"
"Arief Nur Rizky","Gunung Merapi (ketinggian puncak 2.930 mdpl, per 2010) (Hanacaraka: ꦒꦸꦤꦸꦁ​ꦩꦼꦫꦥꦶ ) adalah gunung berapi di bagian tengah Pulau Jawa dan merupakan salah satu gunung api teraktif di Indonesia. Lereng sisi selatan berada dalam administrasi Kabupaten Sleman, Daerah Istimewa Yogyakarta, dan sisanya berada dalam wilayah Provinsi Jawa Tengah, yaitu Kabupaten Magelang di sisi barat, Kabupaten Boyolali di sisi utara dan timur, serta Kabupaten Klaten di sisi tenggara. Kawasan hutan di sekitar puncaknya menjadi kawasan Taman Nasional Gunung Merapisejak tahun 2004.

Gunung ini sangat berbahaya karena menurut catatan modern mengalami erupsi setiap dua sampai lima tahun sekali dan dikelilingi oleh permukiman yang sangat padat. Sejak tahun 1548, gunung ini sudah meletus sebanyak 68 kali.[butuh rujukan] Kota Magelang dan Kota Yogyakarta adalah kota besar terdekat, berjarak kurang dari 30 km dari puncaknya. Di lerengnya masih terdapat permukiman sampai ketinggian 1700 m dan hanya berjarak empat kilometer dari puncak. Oleh karena tingkat kepentingannya ini, Merapi menjadi salah satu dari enam belas gunung api dunia yang termasuk dalam proyek Gunung Api Dekade Ini (Decade Volcanoes).["
"Parta Channel","Visualisasi aktivitas guguran lava pijar Gunung Merapi yang difoto dari kawasan Tritis, Turi, Sleman Yogyakarta dengan radius 6,7 km dari puncak Merapi, pada 10 Januari 2021."
"Amal Akash","That was my first sight of living volcano. I was excited and word less when the clouds become clear and we can saw the volcanoes smoke.
this is a beautiful place. Every body should go there.

Mount Merapi, Gunung Merapi (literally Fire Mountain in Indonesian and Javanese), is an active stratovolcano located on the border between Central Java and Special Region of Yogyakarta provinces, Indonesia. It is the most active volcano in Indonesia and has erupted regularly since 1548. It is located approximately 28 kilometres (17 mi) north of Yogyakarta city which has a population of 2.4 million, and thousands of people live on the flanks of the volcano, with villages as high as 1,700 metres (5,600 ft) above sea level.

Smoke can often be seen emerging from the mountaintop, and several eruptions have caused fatalities. Pyroclastic flow from a large explosion killed 27 people on 22 November 1994, mostly in the town of Muntilan, west of the volcano.[3] Another large eruption occurred in 2006, shortly before the Yogyakarta earthquake. In light of the hazards that Merapi poses to populated areas, it has been designated as one of the Decade Volcanoes.

On 20 October 2010, the Indonesian government raised the alert for Mount Merapi to its highest level and warned villagers in threatened areas to move to safer ground. People living within the range of a 20 km (12 mi) zone were told to evacuate. Officials said[who?] about 500 volcanic earthquakes had been recorded on the mountain over the weekend of 23–24 October[vague], and that the magma had risen to about 1 kilometre (3,300 ft) below the surface due to the seismic activity.[4] On the afternoon of 25 October 2010, Mount Merapi erupted lava from its southern and southeastern slopes.[5]

The mountain was still erupting on 30 November 2010, but due to lowered eruptive activity on 3 December 2010, the official alert status was reduced to level 3.[6] The volcano is now 2930 metres high,[2] 38 metres lower than before the 2010 eruptions.

After a large eruption in 2010, the characteristic shape of Mount Merapi was changed. On 18 November 2013, Mount Merapi erupted smoke up to 2,000 meters high, one of its first major phreatic eruptions after the 2010 eruption. Researchers said that this eruption occurred due to the combined effect of hot volcanic gases and abundant rainfall.[7] The most recent eruptions so far were on 3 March 2020[8][9] and 27 March 2020"
"Lukman Taufik","Sangat bermanfaat buat ilmu pengetahuan saya"
"Wahyu Agus Firmanto","View puncak gunung terkeren yg pernah saya temui dari sekian gunung yg pernah saya daki."
"Joesy","I have been climbing Merapi Volcano Mountain for second time that I have ever climbed. Memorable and exotic mountain like a home where I always want to back again to see the beautiful Art natural work. Merapi has different soil structure with another volcano mountain. It is little bit slipper and rough but over all recommend to see the sunrise and the volcano kettle of merapi. There are windy place most of the time and cold but sometimes I only used to shorts and t-shirt. Also, you'd better to go down in the safe area before noon because the poisonous smoke from volcano is danger. The last but not least, keep safety and bring your trash to basecamp. Please,  keep the place clean!! 😉"
"Rahmi imamah","Pemandangannya bagus adem di mata jalanan lika liku khas pegunungan"
